Date,Close,Volume,std,upper,lower,Rates
2017-07-27,6.72,2106900.0,1.0932543162503416,8.906508632500683,4.533491367499316,1.07
2017-07-28,6.74,1938300.0,0.9528808121193677,8.645761624238736,4.834238375761265,1.07
2017-07-31,6.61,1396400.0,0.8590294400935111,8.328058880187022,4.891941119812978,1.07
2017-08-01,6.37,2117200.0,0.6814535548138434,7.732907109627687,5.007092890372313,1.01
2017-08-02,6.2,3832900.0,0.5858471149585586,7.371694229917117,5.028305770082883,1.01
2017-08-03,6.22,2781400.0,0.5573848712845064,7.334769742569012,5.105230257430987,1.01
2017-08-04,5.83,7592700.0,0.5747850856945108,6.979570171389022,4.680429828610978,1.01
2017-08-07,5.85,3644400.0,0.5263506435827779,6.902701287165556,4.7972987128344435,1.01
2017-08-08,5.81,2329700.0,0.5533534132902813,6.916706826580562,4.703293173419437,1.01
2017-08-09,6.24,4903100.0,0.5166022597093894,7.273204519418779,5.2067954805812215,1.01
2017-08-10,5.14,16616500.0,0.5728313796168031,6.285662759233606,3.9943372407663933,1.01
2017-08-11,5.12,3298100.0,0.6077819900000553,6.335563980000111,3.9044360199998893,1.01
2017-08-14,5.36,3222100.0,0.6443101165710468,6.648620233142093,4.071379766857907,1.01
2017-08-15,5.65,3199900.0,0.6600526294805719,6.970105258961144,4.329894741038856,1.01
2017-08-16,5.5,1543300.0,0.6744079274679278,6.8488158549358555,4.1511841450641445,1.01
2017-08-17,5.39,2565200.0,0.6936448355568893,6.7772896711137784,4.002710328886221,1.01
2017-08-18,5.31,1520600.0,0.7110215038572152,6.73204300771443,3.8879569922855692,1.01
2017-08-21,5.24,1700300.0,0.6622439922439204,6.564487984487841,3.915512015512159,1.01
2017-08-22,5.25,3166500.0,0.5754128952326393,6.400825790465278,4.099174209534722,1.01
2017-08-23,5.47,1761300.0,0.5420128178713587,6.554025635742717,4.385974364257282,1.01
2017-08-24,5.48,1682800.0,0.5007037153110856,6.481407430622172,4.478592569377829,1.01
2017-08-25,5.39,1180200.0,0.4467458361364683,6.283491672272937,4.496508327727063,1.01
